Age,Gender,Tribe,Father_Tribe,Mother_Tribe,Same_Tribe_Parents,Place_of_Birth,Current_Residence,Migrated,Number_of_Siblings,Lived_with_Grandparents,MT_Taught_in_School,Language_Spoken_by_Parents,Language_Spoken_with_Siblings,Ever_Visited_Village,Attended_Cultural_Meetings,Belongs_to_Cultural_Group,MT_Used_in_Church_or_Mosque,Knows_Songs_in_MT,Wants_Children_to_Speak_MT,MT_Proficiency,Cultural_Identity_Strength
19,Female,Bakweri,Bakweri,Bakweri,Yes,South West,Yaoundé,Yes,2,Yes,No,French,Mix of MT and Pidgin,Yes,Yes,No,English,Yes,No,Basic,Moderate
23,Male,Meta,Meta,Bakweri,No,Yaoundé,Meta Village,Yes,2,No,No,Meta (mother tongue),Meta (mother tongue),Yes,Yes,No,Meta (mother tongue),Yes,Yes,Basic,Moderate
9,Male,Fulani,Fulani,Fulani,Yes,Far North,Ngaoundéré,No,6,No,No,Mix of Fulfulde and French,Fulfulde (mother tongue),Yes,No,Yes,Arabic (Quran),Yes,Yes,Basic,Weak
8,Male,Meta,Meta,Bafut,No,North West,Douala,Yes,1,Yes,No,Mix of Pidgin and French,Mix of Pidgin and French,Yes,No,No,Meta (mother tongue),Yes,Yes,None,Weak
18,Female,Bakweri,Bakweri,Fulani,No,Buea,Bakweri Village,No,2,Yes,No,Mokpwe (mother tongue),French,No,Yes,No,Mokpwe (mother tongue),No,Yes,Basic,Weak
23,Female,Fulani,Fulani,Fulani,Yes,Buea,Ngaoundéré,No,3,Yes,No,French,Fulfulde (mother tongue),Yes,Yes,No,Fulfulde,Yes,Yes,Basic,Moderate
5,Female,Bafut,Bafut,Bafut,Yes,South West,Bafoussam,No,2,No,No,English,Mix of MT and Pidgin,Yes,Yes,Yes,Bafut (mother tongue),Yes,No,Basic,Strong
22,Female,Bafut,Bafut,Meta,No,Centre,Bafoussam,No,3,No,Yes,Bafut (mother tongue),Cameroonian Pidgin English,Yes,Yes,Yes,Bafut (mother tongue),Yes,Yes,Conversational,Moderate
19,Female,Meta,Meta,Meta,Yes,Douala,Meta Village,No,3,Yes,No,French,Meta (mother tongue),No,No,No,Meta (mother tongue),No,Yes,Minimal,Detached
15,Male,Meta,Meta,Meta,Yes,Douala,Douala,No,3,No,Yes,Meta (mother tongue),French,No,Yes,No,English,No,Yes,Basic,Weak
17,Male,Fulani,Fulani,Fulani,Yes,Far North,Douala,No,0,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,No,Arabic (Quran),Yes,No,Conversational,Moderate
6,Female,Meta,Meta,Meta,Yes,North West,Bafoussam,Yes,5,Yes,Yes,Meta (mother tongue),Mix of Pidgin and French,No,Yes,No,English,Yes,Yes,Conversational,Weak
22,Female,Meta,Meta,Meta,Yes,Douala,Bamenda,No,2,No,No,Meta (mother tongue),Meta (mother tongue),Yes,Yes,No,Meta (mother tongue),No,Yes,Basic,Weak
6,Female,Meta,Meta,Meta,Yes,Bamenda,Yaoundé,Yes,4,Yes,No,Meta (mother tongue),Meta (mother tongue),No,No,Yes,Cameroonian Pidgin English,No,Yes,Basic,Weak
4,Female,Bakweri,Bakweri,Bakweri,Yes,Bamenda,Bakweri Village,No,2,No,No,Mokpwe (mother tongue),Mokpwe (mother tongue),Yes,Yes,No,Cameroonian Pidgin English,No,Yes,Conversational,Moderate
12,Male,Fulani,Fulani,Fulani,Yes,Buea,Maroua,No,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,No,Hausa,Yes,Yes,Conversational,Moderate
12,Male,Fulani,Fulani,Bakweri,No,Douala,Garoua,Yes,5,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,French,Yes,Yes,Basic,Moderate
4,Male,Meta,Meta,Meta,Yes,South West,Yaoundé,No,5,No,No,Meta (mother tongue),Cameroonian Pidgin English,No,No,Yes,French,Yes,Yes,Basic,Weak
14,Male,Fulani,Fulani,Fulani,Yes,Centre,Garoua,Yes,8,Yes,No,Fulfulde (mother tongue),Mix of Fulfulde and Arabic,Yes,Yes,Yes,Fulfulde,Yes,Yes,Conversational,Strong
14,Female,Fulani,Fulani,Fulani,Yes,Adamawa,Fulani Camp,Yes,2,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,Yes,French,Yes,Yes,Conversational,Moderate
5,Female,Meta,Meta,Bakweri,No,Buea,Yaoundé,No,1,Yes,Yes,Mix of MT and French,French,No,No,No,Meta (mother tongue),Yes,Yes,Minimal,Detached
10,Male,Fulani,Fulani,Fulani,Yes,Centre,Garoua,Yes,5,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,No,Arabic (Quran),No,Yes,Basic,Detached
4,Female,Bakweri,Bakweri,Meta,No,North West,Limbe,Yes,1,Yes,No,Mix of Pidgin and English,French,No,Yes,No,French,Yes,Yes,Minimal,Moderate
8,Female,Bafut,Bafut,Bafut,Yes,Centre,Bamenda,No,3,Yes,No,French,Mix of MT and French,No,No,Yes,French,No,Yes,Minimal,Weak
23,Female,Meta,Meta,Meta,Yes,North West,Meta Village,Yes,2,No,Yes,Mix of MT and Pidgin,Mix of MT and French,Yes,Yes,No,French,No,Yes,Minimal,Weak
11,Male,Fulani,Fulani,Fulani,Yes,Douala,Fulani Camp,No,7,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,Yes,Arabic (Quran),No,Yes,Fluent,Moderate
10,Female,Bafut,Bafut,Bafut,Yes,Bamenda,Bafoussam,No,3,Yes,Yes,Bafut (mother tongue),Bafut (mother tongue),No,Yes,Yes,English,No,Yes,Fluent,Moderate
14,Male,Meta,Meta,Meta,Yes,Bamenda,Bafoussam,No,5,No,No,Meta (mother tongue),English,Yes,Yes,No,Cameroonian Pidgin English,Yes,Yes,Basic,Moderate
12,Male,Bafut,Bafut,Bakweri,No,Buea,Bamenda,Yes,1,Yes,No,English,Bafut (mother tongue),No,No,Yes,French,Yes,Yes,Basic,Moderate
4,Female,Fulani,Fulani,Fulani,Yes,Adamawa,Fulani Camp,Yes,7,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,Arabic (Quran),Yes,Yes,Conversational,Moderate
11,Male,Bafut,Bafut,Meta,No,Centre,Bafoussam,No,1,No,No,Bafut (mother tongue),Cameroonian Pidgin English,Yes,Yes,No,English,No,Yes,Basic,Weak
17,Female,Bafut,Bafut,Bafut,Yes,South West,Yaoundé,Yes,2,No,No,Bafut (mother tongue),Bafut (mother tongue),No,Yes,No,Bafut (mother tongue),No,No,Minimal,Weak
23,Male,Bakweri,Bakweri,Bakweri,Yes,South West,Limbe,Yes,5,No,No,Mokpwe (mother tongue),Mix of MT and English,Yes,Yes,No,English,No,No,Minimal,Weak
17,Male,Fulani,Fulani,Bafut,No,Far North,Maroua,No,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,Arabic (Quran),No,Yes,Conversational,Moderate
16,Female,Fulani,Fulani,Fulani,Yes,Centre,Maroua,No,1,No,No,Fulfulde (mother tongue),Cameroonian Pidgin English,Yes,Yes,No,Fulfulde,Yes,Yes,Basic,Moderate
7,Male,Bafut,Bafut,Meta,No,Littoral,Bafut Village,No,3,Yes,No,Bafut (mother tongue),Bafut (mother tongue),Yes,No,Yes,Mix of MT and Pidgin,Yes,Yes,Fluent,Moderate
24,Female,Meta,Meta,Meta,Yes,Bamenda,Meta Village,No,3,No,No,Mix of MT and Pidgin,Mix of Pidgin and French,No,Yes,Yes,French,No,No,Minimal,Moderate
5,Male,Bafut,Bafut,Meta,No,Bamenda,Douala,No,2,No,Yes,Mix of MT and French,Bafut (mother tongue),Yes,No,Yes,English,No,Yes,Basic,Weak
4,Female,Meta,Meta,Bafut,No,Yaoundé,Yaoundé,Yes,1,No,No,Meta (mother tongue),French,No,No,No,Mix of MT and Pidgin,Yes,No,None,Detached
20,Female,Meta,Meta,Meta,Yes,Yaoundé,Bamenda,Yes,5,No,No,Mix of MT and French,Mix of Pidgin and French,No,No,No,French,No,Yes,None,Detached
5,Male,Bafut,Bafut,Bafut,Yes,South West,Yaoundé,Yes,2,No,No,Mix of MT and French,Bafut (mother tongue),No,Yes,No,English,No,Yes,None,Detached
13,Female,Bakweri,Bakweri,Meta,No,South West,Bakweri Village,No,2,No,No,English,Mokpwe (mother tongue),No,No,No,Mokpwe (mother tongue),No,No,Minimal,Detached
19,Male,Fulani,Fulani,Fulani,Yes,Yaoundé,Maroua,Yes,3,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,Yes,Arabic (Quran),Yes,Yes,Fluent,Strong
14,Female,Fulani,Fulani,Fulani,Yes,Bamenda,Maroua,No,5,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,Hausa,Yes,Yes,Fluent,Moderate
10,Female,Fulani,Fulani,Fulani,Yes,Douala,Maroua,Yes,7,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,No,Fulfulde,Yes,Yes,Basic,Detached
23,Male,Bafut,Bafut,Meta,No,Littoral,Yaoundé,Yes,4,No,No,Mix of Pidgin and French,Mix of MT and French,Yes,No,No,French,No,Yes,None,Detached
15,Male,Bakweri,Bakweri,Meta,No,South West,Limbe,No,4,No,No,Mokpwe (mother tongue),Mix of MT and Pidgin,No,No,Yes,Cameroonian Pidgin English,Yes,Yes,Minimal,Weak
18,Female,Fulani,Fulani,Fulani,Yes,Bamenda,Maroua,No,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,French,Yes,Yes,Fluent,Moderate
16,Female,Fulani,Fulani,Fulani,Yes,Douala,Ngaoundéré,Yes,5,No,No,Mix of Fulfulde and Hausa,Fulfulde (mother tongue),Yes,No,Yes,Arabic (Quran),No,Yes,None,Weak
20,Male,Bakweri,Bakweri,Bakweri,Yes,Yaoundé,Yaoundé,Yes,1,Yes,Yes,Mokpwe (mother tongue),Cameroonian Pidgin English,Yes,Yes,No,English,Yes,No,Conversational,Moderate
6,Male,Fulani,Fulani,Fulani,Yes,Far North,Ngaoundéré,Yes,3,Yes,Yes,Hausa,Fulfulde (mother tongue),Yes,No,Yes,Arabic (Quran),Yes,Yes,Basic,Moderate
4,Male,Fulani,Fulani,Bakweri,No,Littoral,Ngaoundéré,Yes,3,No,No,Hausa,Fulfulde (mother tongue),Yes,Yes,Yes,Arabic (Quran),Yes,Yes,Basic,Moderate
24,Male,Fulani,Fulani,Fulani,Yes,Littoral,Ngaoundéré,No,7,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,Arabic (Quran),Yes,Yes,Fluent,Strong
18,Male,Bakweri,Bakweri,Bakweri,Yes,Yaoundé,Douala,No,5,No,No,French,Mix of Pidgin and English,No,No,No,French,No,Yes,None,Detached
7,Male,Fulani,Fulani,Fulani,Yes,Adamawa,Maroua,Yes,6,Yes,No,Fulfulde (mother tongue),French,Yes,No,No,French,Yes,Yes,Basic,Weak
16,Female,Bakweri,Bakweri,Bafut,No,Littoral,Douala,No,5,No,No,Mokpwe (mother tongue),Mokpwe (mother tongue),No,No,No,Cameroonian Pidgin English,Yes,Yes,Basic,Detached
23,Male,Bafut,Bafut,Bafut,Yes,Yaoundé,Yaoundé,No,1,No,Yes,Bafut (mother tongue),Bafut (mother tongue),Yes,No,No,English,Yes,Yes,Conversational,Detached
23,Female,Fulani,Fulani,Fulani,Yes,Bamenda,Ngaoundéré,No,6,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,Hausa,No,No,Fluent,Weak
7,Female,Meta,Meta,Meta,Yes,Buea,Meta Village,Yes,4,Yes,No,Mix of Pidgin and French,Meta (mother tongue),Yes,Yes,Yes,Cameroonian Pidgin English,No,No,Conversational,Moderate
21,Female,Fulani,Fulani,Fulani,Yes,Buea,Yaoundé,Yes,4,No,No,Mix of Fulfulde and Arabic,Fulfulde (mother tongue),Yes,No,Yes,French,Yes,Yes,Minimal,Moderate
16,Male,Fulani,Fulani,Fulani,Yes,Buea,Yaoundé,No,1,Yes,No,Fulfulde (mother tongue),Cameroonian Pidgin English,Yes,Yes,No,Arabic (Quran),Yes,Yes,Conversational,Moderate
10,Male,Bafut,Bafut,Bakweri,No,Centre,Douala,Yes,4,No,No,Bafut (mother tongue),Mix of MT and French,No,No,No,French,No,Yes,None,Detached
14,Female,Meta,Meta,Bakweri,No,Centre,Bafoussam,No,3,Yes,No,French,English,Yes,Yes,No,Cameroonian Pidgin English,Yes,No,Basic,Moderate
13,Female,Fulani,Fulani,Fulani,Yes,Far North,Ngaoundéré,Yes,7,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,No,Arabic (Quran),Yes,Yes,Basic,Moderate
23,Male,Bakweri,Bakweri,Bakweri,Yes,South West,Bakweri Village,Yes,4,No,No,Mokpwe (mother tongue),Mix of MT and Pidgin,No,No,No,French,Yes,Yes,Minimal,Detached
22,Male,Bafut,Bafut,Bafut,Yes,North West,Bafut Village,No,1,Yes,No,Bafut (mother tongue),English,Yes,Yes,No,Cameroonian Pidgin English,No,No,Conversational,Moderate
19,Male,Meta,Meta,Meta,Yes,North West,Douala,No,3,No,No,Mix of MT and French,Mix of MT and Pidgin,No,No,No,Meta (mother tongue),Yes,Yes,None,Detached
12,Male,Meta,Meta,Bafut,No,Bamenda,Yaoundé,No,3,No,No,Meta (mother tongue),Mix of Pidgin and French,No,Yes,No,English,No,Yes,Minimal,Detached
9,Female,Bakweri,Bakweri,Fulani,No,Littoral,Buea,Yes,3,No,No,English,French,Yes,Yes,No,French,No,Yes,None,Weak
8,Female,Meta,Meta,Meta,Yes,Bamenda,Meta Village,No,4,No,Yes,English,Meta (mother tongue),No,No,Yes,Cameroonian Pidgin English,No,Yes,Basic,Detached
8,Male,Meta,Meta,Meta,Yes,Bamenda,Bafoussam,Yes,4,Yes,No,Meta (mother tongue),Mix of MT and Pidgin,Yes,Yes,No,French,Yes,Yes,Basic,Moderate
8,Female,Meta,Meta,Meta,Yes,Littoral,Bafoussam,No,1,No,No,Meta (mother tongue),Meta (mother tongue),No,Yes,No,French,Yes,No,Basic,Weak
23,Male,Bakweri,Bakweri,Bafut,No,Bamenda,Yaoundé,No,5,No,No,Mokpwe (mother tongue),Mix of Pidgin and English,Yes,No,No,Cameroonian Pidgin English,Yes,No,Basic,Weak
16,Male,Bafut,Bafut,Bafut,Yes,Littoral,Bafoussam,No,4,Yes,Yes,Bafut (mother tongue),Mix of Pidgin and French,Yes,Yes,No,Bafut (mother tongue),No,Yes,Conversational,Weak
19,Female,Fulani,Fulani,Fulani,Yes,Centre,Douala,Yes,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,Yes,French,Yes,Yes,Fluent,Strong
19,Male,Bakweri,Bakweri,Bafut,No,Douala,Limbe,Yes,3,No,No,Mix of MT and Pidgin,Mokpwe (mother tongue),No,No,Yes,English,No,Yes,None,Weak
20,Female,Meta,Meta,Meta,Yes,Littoral,Meta Village,Yes,6,No,No,Mix of Pidgin and French,English,Yes,No,No,Meta (mother tongue),No,No,None,Detached
21,Male,Bakweri,Bakweri,Bakweri,Yes,Yaoundé,Douala,Yes,1,Yes,No,Cameroonian Pidgin English,Mokpwe (mother tongue),Yes,No,Yes,French,No,Yes,Basic,Weak
4,Male,Meta,Meta,Meta,Yes,Buea,Bamenda,No,1,Yes,No,Meta (mother tongue),Meta (mother tongue),Yes,Yes,Yes,French,No,Yes,Fluent,Strong
9,Female,Bafut,Bafut,Meta,No,Centre,Bafoussam,No,3,No,No,Bafut (mother tongue),Mix of Pidgin and French,No,No,No,Bafut (mother tongue),No,No,None,Detached
23,Male,Meta,Meta,Bakweri,No,Centre,Douala,Yes,3,No,No,Mix of MT and Pidgin,Cameroonian Pidgin English,No,No,No,Cameroonian Pidgin English,No,Yes,None,Detached
20,Male,Bakweri,Bakweri,Bakweri,Yes,Douala,Limbe,No,5,Yes,No,Mix of MT and English,Mokpwe (mother tongue),Yes,No,Yes,French,Yes,Yes,Conversational,Moderate
19,Male,Bakweri,Bakweri,Bakweri,Yes,North West,Limbe,Yes,2,No,No,English,English,No,Yes,Yes,English,Yes,Yes,None,Moderate
8,Female,Meta,Meta,Bakweri,No,Buea,Douala,Yes,6,No,No,Meta (mother tongue),French,Yes,No,No,Meta (mother tongue),No,Yes,None,Detached
13,Female,Meta,Meta,Meta,Yes,Yaoundé,Bafoussam,No,3,Yes,No,Mix of MT and Pidgin,Meta (mother tongue),No,Yes,No,Meta (mother tongue),Yes,Yes,Basic,Weak
12,Female,Bakweri,Bakweri,Bafut,No,Douala,Yaoundé,Yes,5,Yes,No,English,Mix of MT and Pidgin,Yes,No,Yes,French,No,No,None,Moderate
22,Male,Meta,Meta,Meta,Yes,Yaoundé,Meta Village,No,5,Yes,Yes,Meta (mother tongue),Meta (mother tongue),No,Yes,No,French,No,Yes,Conversational,Weak
22,Male,Bakweri,Bakweri,Meta,No,South West,Buea,No,3,Yes,No,Cameroonian Pidgin English,French,No,Yes,No,English,No,Yes,Minimal,Weak
4,Male,Bafut,Bafut,Bafut,Yes,Centre,Douala,No,3,Yes,No,Bafut (mother tongue),Bafut (mother tongue),Yes,Yes,Yes,French,No,Yes,Fluent,Strong
21,Female,Fulani,Fulani,Fulani,Yes,Littoral,Maroua,Yes,6,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,No,Hausa,Yes,Yes,Conversational,Moderate
5,Female,Meta,Meta,Meta,Yes,South West,Meta Village,No,3,No,Yes,Meta (mother tongue),Meta (mother tongue),Yes,No,Yes,Meta (mother tongue),No,No,Conversational,Weak
4,Male,Meta,Meta,Meta,Yes,Centre,Douala,No,4,Yes,No,Meta (mother tongue),Meta (mother tongue),Yes,Yes,No,Meta (mother tongue),Yes,Yes,Conversational,Moderate
8,Female,Bafut,Bafut,Bafut,Yes,Yaoundé,Bafut Village,Yes,6,No,No,Bafut (mother tongue),English,No,Yes,No,English,No,No,Minimal,Detached
19,Male,Fulani,Fulani,Fulani,Yes,Littoral,Yaoundé,Yes,5,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,No,French,Yes,Yes,Conversational,Moderate
11,Female,Bakweri,Bakweri,Bafut,No,Douala,Buea,Yes,3,No,No,Mokpwe (mother tongue),Mix of Pidgin and English,Yes,Yes,No,French,No,Yes,Minimal,Weak
13,Male,Meta,Meta,Meta,Yes,South West,Bamenda,No,5,No,No,Meta (mother tongue),Meta (mother tongue),No,Yes,No,French,Yes,Yes,Conversational,Weak
14,Male,Bakweri,Bakweri,Bakweri,Yes,Buea,Yaoundé,No,1,No,Yes,Mokpwe (mother tongue),Cameroonian Pidgin English,No,Yes,No,French,Yes,No,Basic,Weak
16,Female,Bafut,Bafut,Fulani,No,Centre,Bafoussam,No,5,Yes,Yes,Bafut (mother tongue),Mix of Pidgin and French,Yes,No,No,English,No,No,Basic,Detached
5,Female,Meta,Meta,Meta,Yes,Centre,Douala,Yes,4,No,Yes,Meta (mother tongue),Mix of MT and Pidgin,No,No,No,French,Yes,Yes,Minimal,Detached
15,Female,Bafut,Bafut,Fulani,No,South West,Bafut Village,Yes,6,No,No,Bafut (mother tongue),Mix of Pidgin and French,No,No,Yes,Bafut (mother tongue),No,Yes,Minimal,Weak
24,Female,Fulani,Fulani,Fulani,Yes,Littoral,Garoua,Yes,7,Yes,Yes,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,No,Fulfulde,Yes,Yes,Conversational,Weak
5,Female,Fulani,Fulani,Fulani,Yes,Buea,Yaoundé,No,8,No,No,Mix of Fulfulde and Hausa,Fulfulde (mother tongue),Yes,Yes,No,Fulfulde,No,Yes,Basic,Weak
11,Female,Bakweri,Bakweri,Bakweri,Yes,Douala,Limbe,No,3,No,No,Mix of MT and Pidgin,Cameroonian Pidgin English,Yes,Yes,Yes,English,Yes,Yes,Basic,Strong
6,Female,Fulani,Fulani,Meta,No,Douala,Maroua,No,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,No,French,Yes,Yes,Basic,Weak
14,Female,Bakweri,Bakweri,Meta,No,Yaoundé,Limbe,Yes,2,No,No,Cameroonian Pidgin English,French,Yes,Yes,No,Cameroonian Pidgin English,Yes,No,None,Weak
23,Male,Bakweri,Bakweri,Bafut,No,Buea,Limbe,No,3,No,No,Mokpwe (mother tongue),Cameroonian Pidgin English,No,No,Yes,Cameroonian Pidgin English,No,Yes,Minimal,Detached
19,Male,Fulani,Fulani,Fulani,Yes,Littoral,Garoua,Yes,8,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),No,Yes,Yes,Fulfulde,Yes,No,Basic,Moderate
22,Male,Bakweri,Bakweri,Bakweri,Yes,Buea,Limbe,No,3,No,No,English,Mix of MT and Pidgin,Yes,No,Yes,Mokpwe (mother tongue),Yes,Yes,Basic,Moderate
9,Male,Meta,Meta,Meta,Yes,South West,Yaoundé,Yes,1,Yes,No,Meta (mother tongue),Mix of MT and French,Yes,No,Yes,French,No,No,Basic,Moderate
7,Male,Fulani,Fulani,Fulani,Yes,North,Garoua,Yes,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,No,Fulfulde,No,Yes,Conversational,Weak
22,Female,Meta,Meta,Bafut,No,Centre,Bamenda,No,0,No,No,Meta (mother tongue),Meta (mother tongue),Yes,Yes,No,French,Yes,No,Basic,Moderate
13,Male,Fulani,Fulani,Fulani,Yes,Yaoundé,Garoua,No,6,Yes,No,Fulfulde (mother tongue),Mix of Fulfulde and Arabic,No,Yes,Yes,Arabic (Quran),Yes,No,Conversational,Strong
13,Female,Meta,Meta,Meta,Yes,Bamenda,Douala,Yes,1,No,No,Meta (mother tongue),Mix of MT and Pidgin,No,Yes,No,Cameroonian Pidgin English,No,No,Minimal,Detached
23,Male,Bakweri,Bakweri,Fulani,No,Bamenda,Limbe,No,3,No,Yes,Mix of Pidgin and English,Mokpwe (mother tongue),Yes,No,No,Cameroonian Pidgin English,Yes,No,Minimal,Weak
10,Female,Meta,Meta,Meta,Yes,South West,Douala,No,3,Yes,No,English,Mix of Pidgin and French,Yes,Yes,Yes,Meta (mother tongue),No,Yes,Basic,Strong
5,Female,Meta,Meta,Meta,Yes,Centre,Douala,No,5,Yes,No,Meta (mother tongue),Mix of MT and French,Yes,No,No,French,No,No,Basic,Detached
15,Male,Bafut,Bafut,Bafut,Yes,Bamenda,Bafoussam,Yes,5,Yes,No,Bafut (mother tongue),Cameroonian Pidgin English,Yes,No,No,Cameroonian Pidgin English,No,Yes,Basic,Weak
15,Male,Bakweri,Bakweri,Bafut,No,North West,Buea,No,2,Yes,Yes,Mix of Pidgin and English,Mix of Pidgin and English,No,No,No,English,Yes,No,Minimal,Weak
6,Male,Bafut,Bafut,Bafut,Yes,North West,Bamenda,Yes,2,No,Yes,Bafut (mother tongue),Mix of MT and Pidgin,Yes,No,No,English,No,No,Minimal,Detached
4,Female,Bafut,Bafut,Bafut,Yes,Bamenda,Douala,No,5,Yes,Yes,French,French,No,No,No,French,Yes,Yes,Minimal,Detached
17,Female,Meta,Meta,Meta,Yes,Douala,Bafoussam,Yes,2,Yes,Yes,Mix of MT and Pidgin,Meta (mother tongue),Yes,No,Yes,French,Yes,No,Conversational,Moderate
20,Female,Bafut,Bafut,Fulani,No,North West,Bafoussam,Yes,3,No,Yes,Bafut (mother tongue),Bafut (mother tongue),Yes,Yes,No,Bafut (mother tongue),Yes,Yes,Basic,Moderate
19,Male,Fulani,Fulani,Fulani,Yes,Yaoundé,Ngaoundéré,Yes,5,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,Yes,Arabic (Quran),Yes,Yes,Conversational,Moderate
9,Male,Meta,Meta,Bafut,No,Bamenda,Bafoussam,No,2,Yes,No,French,Cameroonian Pidgin English,Yes,No,No,Mix of Pidgin and French,No,Yes,Minimal,Weak
5,Female,Bakweri,Bakweri,Meta,No,North West,Douala,Yes,0,No,No,Mokpwe (mother tongue),Mokpwe (mother tongue),No,No,No,English,Yes,Yes,Minimal,Detached
23,Female,Bakweri,Bakweri,Fulani,No,North West,Douala,Yes,2,No,No,Mokpwe (mother tongue),Mix of MT and English,Yes,Yes,No,English,No,Yes,Minimal,Weak
13,Male,Bakweri,Bakweri,Fulani,No,Bamenda,Douala,Yes,0,No,No,Mokpwe (mother tongue),Mokpwe (mother tongue),No,Yes,Yes,Cameroonian Pidgin English,No,No,Basic,Moderate
16,Female,Meta,Meta,Meta,Yes,Douala,Bafoussam,No,1,No,Yes,Meta (mother tongue),Meta (mother tongue),Yes,No,No,English,No,No,Basic,Detached
20,Female,Bafut,Bafut,Bafut,Yes,Bamenda,Douala,Yes,4,Yes,No,Cameroonian Pidgin English,Mix of MT and French,No,No,No,Bafut (mother tongue),No,No,None,Detached
20,Female,Bakweri,Bakweri,Bakweri,Yes,South West,Douala,Yes,6,No,No,Mix of MT and English,English,Yes,No,No,French,No,No,None,Detached
20,Male,Fulani,Fulani,Fulani,Yes,Buea,Maroua,No,4,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,Yes,Arabic (Quran),Yes,Yes,Fluent,Strong
21,Female,Bafut,Bafut,Bafut,Yes,South West,Bafut Village,No,1,Yes,No,Bafut (mother tongue),Bafut (mother tongue),No,No,No,Cameroonian Pidgin English,Yes,No,Conversational,Weak
16,Female,Bafut,Bafut,Bafut,Yes,Centre,Bafut Village,Yes,5,No,No,English,Bafut (mother tongue),No,No,No,French,No,No,None,Detached
21,Female,Fulani,Fulani,Fulani,Yes,Centre,Douala,Yes,5,No,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,Yes,Arabic (Quran),Yes,Yes,Basic,Moderate
11,Male,Bakweri,Bakweri,Bakweri,Yes,Buea,Buea,No,5,No,No,English,Mokpwe (mother tongue),No,Yes,No,Mokpwe (mother tongue),Yes,No,Basic,Weak
10,Female,Bafut,Bafut,Meta,No,Centre,Douala,No,4,No,Yes,Bafut (mother tongue),Cameroonian Pidgin English,Yes,Yes,Yes,Bafut (mother tongue),Yes,Yes,Basic,Moderate
9,Male,Fulani,Fulani,Fulani,Yes,Buea,Ngaoundéré,Yes,1,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,No,No,Hausa,Yes,Yes,Basic,Weak
17,Male,Fulani,Fulani,Fulani,Yes,Buea,Ngaoundéré,Yes,0,Yes,No,Fulfulde (mother tongue),Fulfulde (mother tongue),Yes,Yes,Yes,Does not attend,Yes,Yes,Fluent,Strong
20,Female,Fulani,Fulani,Fulani,Yes,Littoral,Garoua,Yes,7,No,No,Fulfulde (mother tongue),French,Yes,Yes,Yes,Fulfulde,Yes,Yes,Basic,Moderate
12,Male,Bafut,Bafut,Meta,No,Buea,Bafut Village,No,0,Yes,No,Cameroonian Pidgin English,Bafut (mother tongue),Yes,No,Yes,English,Yes,No,Conversational,Moderate
24,Male,Bafut,Bafut,Bakweri,No,North West,Yaoundé,No,3,Yes,No,Bafut (mother tongue),Bafut (mother tongue),No,Yes,Yes,French,Yes,Yes,Conversational,Moderate
16,Male,Meta,Meta,Meta,Yes,Buea,Yaoundé,Yes,4,Yes,No,Mix of MT and French,Mix of MT and Pidgin,Yes,No,No,French,Yes,No,Minimal,Weak
13,Female,Meta,Meta,Meta,Yes,Littoral,Yaoundé,No,2,Yes,No,Meta (mother tongue),Meta (mother tongue),No,Yes,Yes,Cameroonian Pidgin English,No,Yes,Conversational,Moderate
9,Female,Meta,Meta,Meta,Yes,Littoral,Bafoussam,No,0,No,No,Meta (mother tongue),Meta (mother tongue),Yes,No,No,Mix of Pidgin and French,No,No,Basic,Detached
